('1155 HWY 65 NORTH', 'AR', '029')
('2214 FAYETTEVILLE RD', 'AR', '141')
('1712 E OHIO ST', 'MO', '049')
('5000 10TH AVE', 'KS', '103')
('1601 ALBERT PIKE RD', 'AR', '059')
('410 S DEWEY AVE', 'OK', '145')
('350 PARK RIDGE RD', 'MO', '211')
('3701 N MAIN ST', 'TX', '441')
('17309 INTERSTATE 30 S', 'AR', '007')
('1405 MIDDLE RD', 'KY', '075')
('1800 S WOOD DR', 'OK', '111')
('3051 E JACKSON BLVD', 'MO', '095')
('1500 E WRANGLER BLVD', 'OK', '133')
('1000 W SHAWNEE ST', 'OK', '101')
('200 STARLITE DR', 'OK', '073')
('3215 WILLIAMS AVE', 'OK', '153')
('3509 E RACE AVE', 'AR', '129')
('4810 NORTH ST', 'TX', '347')
('100 MCCORD RD', 'MS', '115')
('2121 US HIGHWAY 79 S', 'TX', '213')
('322 BROWNSVILLE LOOP', 'AR', '085')
('1701 A ROY DR', 'MO', '221')
('3439 WILLIAM ST', 'MO', '031')
('772 N AIRPORT RD', 'OK', '027')
('800 W GIBSON ST', 'TX', '241')
('2802 OUTER ROAD DRIVE', 'IL', '121')
('951 SW WILSHIRE BLVD', 'TX', '051')
('1983 S MISSISSIPPI AVE', 'OK', '005')
('1225 E LOOP 304', 'TX', '105')
('782 E INTERSTATE 30', 'TX', '397')
('4019 CENTRAL AVE', 'AR', '059')
('175 BEASLEY DR', 'TN', '043')
('1341 HIGHWAY 287 N', 'TX', '037')
('3600 MALLORY LN', 'TN', '051')
('1550 NASHVILLE RD', 'KY', '073')
('1114 E. SARAH DEWITT DRIVE', 'TX', '177')
('9002 N NAVARRO ST', 'TX', '469')
('2196 EMPORIUM DR', 'TN', '087')
('101 E DAVID DR', 'NE', '185')
('343 PINEWOOD RD', 'SC', '085')
('2004 W MARLER LN', 'MO', '153')
('2101 S PRINCETON ST', 'KS', '143')
('2171 S HIGHLAND AVE', 'TN', '087')
('3812 LIBERTY HWY', 'SC', '007')
('2003 E 1ST ST', 'KS', '151')
('214 HAYNES ST', 'AL', '121')
('1515 S LOOP 288', 'TX', '121')
('4530 WOODROW BEAN', 'TX', '141')
